"name","state","district","category","description","address","latitude","longitude","estimated_cost","opening_hours","image_url","is_active","visit_duration_min","festival_start_date","festival_end_date","halal_status","is_outdoor","best_time_to_visit","dress_code_required","website_url","phone_number","avg_rating","rating"
"Rumah Kelahiran Tun Dr. Mahathir","Kedah","Kota Setar","museum","Rumah Kelahiran Tun Dr. Mahathir is a museum stop in Kota Setar, Kedah, useful for history, exhibits, and educational visits. It is located around No. 18, Lorong Kilang Ais Sekolah Kebangsaan Jalan Pegawai, Jalan Seberang Perak, Taman Pesisiran Tanjung Chali, 05000 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.4/5 from about 991 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","No. 18, Lorong Kilang Ais Sekolah Kebangsaan Jalan Pegawai, Jalan Seberang Perak, Taman Pesisiran Tanjung Chali, 05000 Alor Setar, Kedah, Malaysia","6.1133212","100.3628175","5.00","Monday: Closed | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 12:00 PM, 3:00 - 5:00 PM | Saturday: 9:00 AM - 5:00 PM | Sunday: 9:00 AM - 5:00 PM","uploads/places/google_bulk_rumah_kelahiran_tun_dr_mahathir_kedah_kota_setar_5478b7ea55.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=10789991958310888008","04-772 2319","4.40","4.40"
"Alor Setar Tower","Kedah","Kota Setar","culture","Alor Setar Tower is a culture stop in Kota Setar, Kedah, useful for local cultural exploration. It is located around Lot 99, Lebuhraya Darul Aman, Bandar Alor Setar, 05100 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.4/5 from about 9012 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Lot 99, Lebuhraya Darul Aman, Bandar Alor Setar, 05100 Alor Setar, Kedah, Malaysia","6.124412","100.3670848","0.00","Monday: 8:30 AM - 10:30 PM | Tuesday: 8:30 AM - 10:30 PM | Wednesday: 8:30 AM - 10:30 PM | Thursday: 8:30 AM - 10:30 PM | Friday: 8:30 AM - 10:30 PM | Saturday: 8:30 AM - 10:30 PM | Sunday: 8:30 AM - 10:30 PM","uploads/places/google_bulk_alor_setar_tower_kedah_kota_setar_228fecead0.jpg","1","90","","","","0","Morning or afternoon","0","https://www.facebook.com/menaraalorsetarofficial/","04-720 2234","4.40","4.40"
"Kedah Royal Museum","Kedah","Kota Setar","museum","Kedah Royal Museum is a museum stop in Kota Setar, Kedah, useful for history, exhibits, and educational visits. It is located around Medan Bandar, Kedah, Bandar Alor Setar, 05400 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.7/5 from about 121 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Medan Bandar, Kedah, Bandar Alor Setar, 05400 Alor Setar, Kedah, Malaysia","6.1194819","100.3668764","10.00","Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 12:30 PM, 2:30 - 5:00 PM | Saturday: 9:00 AM - 5:00 PM | Sunday: 9:00 AM - 5:00 PM","uploads/places/google_bulk_kedah_royal_museum_kedah_kota_setar_1683a7b23c.jpg","1","90","","","","0","Morning or afternoon","0","https://www.muziumkedah.gov.my/index.php/rangkaian/muzium-diraja","04-732 7937","4.70","4.70"
"Alor Setar Street Art","Kedah","Kota Setar","culture","Alor Setar Street Art is a culture stop in Kota Setar, Kedah, useful for local cultural exploration. It is located around Lorong Setar, Pekan Melayu, 05000 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.9/5 from about 20 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Lorong Setar, Pekan Melayu, 05000 Alor Setar, Kedah, Malaysia","6.1165619","100.3645847","0.00","","uploads/places/google_bulk_alor_setar_street_art_kedah_kota_setar_a464eddc48.jpg","1","90","","","","1","Morning or afternoon","0","https://maps.google.com/?cid=6227621071247701430","","4.90","4.90"
"Rumah Merdeka","Kedah","Kota Setar","culture","Rumah Merdeka is a culture stop in Kota Setar, Kedah, useful for local cultural exploration. It is located around Jln Tunku Abdul Rahman Putra, Bandar Alor Setar, 05150 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.4/5 from about 149 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Jln Tunku Abdul Rahman Putra, Bandar Alor Setar, 05150 Alor Setar, Kedah, Malaysia","6.1229935","100.3599146","0.00","Monday: Closed | Tuesday: 10:00 AM - 4:00 PM | Wednesday: 10:00 AM - 4:00 PM | Thursday: 10:00 AM - 4:00 PM | Friday: Closed | Saturday: 10:00 AM - 4:00 PM | Sunday: 10:00 AM - 4:00 PM","uploads/places/google_bulk_rumah_merdeka_kedah_kota_setar_003c5370d5.jpg","1","90","","","","0","Morning or afternoon","0","https://m.facebook.com/fotopenerangan/posts/1795330053895127","04-720 4214","4.40","4.40"
"Nobat Hall Alor Setar","Kedah","Kota Setar","culture","Nobat Hall Alor Setar is a culture stop in Kota Setar, Kedah, useful for local cultural exploration. It is located around Bandar Alor Setar, 05000 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.2/5 from about 128 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Bandar Alor Setar, 05000 Alor Setar, Kedah, Malaysia","6.120991","100.3666061","0.00","","uploads/places/google_bulk_nobat_hall_alor_setar_kedah_kota_setar_f124134d31.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=2081011288533134355","","4.20","4.20"
"San Sheng Charity and Culture Association Centre","Kedah","Kota Setar","culture","San Sheng Charity and Culture Association Centre is a culture stop in Kota Setar, Kedah, useful for local cultural exploration. It is located around 16, Lorong Cermai 19, Taman Putra Jaya, 05300 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.3/5 from about 346 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","16, Lorong Cermai 19, Taman Putra Jaya, 05300 Alor Setar, Kedah, Malaysia","6.1095414","100.377803","0.00","","uploads/places/google_bulk_san_sheng_charity_and_culture_association_centre_kedah_kota_setar_ef9d437987.jpg","1","90","","","","0","Morning or afternoon","0","https://www.facebook.com/profile.php?id=100064899242121","04-734 7581","4.30","4.30"
"Alor Setar Heritage District","Kedah","Kota Setar","culture","Alor Setar Heritage District is a culture stop in Kota Setar, Kedah, useful for local cultural exploration. It is located around 18, Jalan Sultan Muhammad Jiwa, Taman Pesisiran Tanjung Chali, 05050 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.6/5 from about 5 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","18, Jalan Sultan Muhammad Jiwa, Taman Pesisiran Tanjung Chali, 05050 Alor Setar, Kedah, Malaysia","6.1162982","100.3639571","0.00","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","uploads/places/google_bulk_alor_setar_heritage_district_kedah_kota_setar_d505a7c81d.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=5924341584215806133","","4.60","4.60"
"National Science Centre Northern Region","Kedah","Kota Setar","museum","National Science Centre Northern Region is a museum stop in Kota Setar, Kedah, useful for history, exhibits, and educational visits. It is located around Jalan Gunung Keriang, 06570 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.1/5 from about 207 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Jalan Gunung Keriang, 06570 Alor Setar, Kedah, Malaysia","6.1910296","100.3248669","5.00","Monday: 9:00 AM - 4:00 PM | Tuesday: 9:00 AM - 4:00 PM | Wednesday: 9:00 AM - 4:00 PM | Thursday: 9:00 AM - 4:00 PM | Friday: Closed | Saturday: 9:00 AM - 4:00 PM | Sunday: 9:00 AM - 4:00 PM","uploads/places/google_bulk_national_science_centre_northern_region_kedah_kota_setar_40df04e3a6.jpg","1","90","","","","0","Morning or afternoon","0","https://www.psn.gov.my/","04-720 7700","4.10","4.10"
"Hutan Lipur Bukit Wang","Kedah","Kubang Pasu","nature","Hutan Lipur Bukit Wang is a nature stop in Kubang Pasu, Kedah, useful for outdoor scenery and eco-tourism. It is located around 06000 Jitra, Kedah, Malaysia. Google Places shows a rating context of 3.9/5 from about 381 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","06000 Jitra, Kedah, Malaysia","6.31882","100.482688","0.00","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","uploads/places/google_bulk_hutan_lipur_bukit_wang_kedah_kubang_pasu_f44089a05c.jpg","1","120","","","","1","Morning","0","https://maps.google.com/?cid=9884289991748453362","04-917 1601","3.90","3.90"
"DARULAMAN HILLS","Kedah","Kubang Pasu","nature","DARULAMAN HILLS is a nature stop in Kubang Pasu, Kedah, useful for outdoor scenery and eco-tourism. It is located around Kampung Kelubi, 06000 Jitra, Kedah, Malaysia. Google Places shows a rating context of 4.1/5 from about 125 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Kampung Kelubi, 06000 Jitra, Kedah, Malaysia","6.2482653","100.444828","0.00","","uploads/places/google_bulk_darulaman_hills_kedah_kubang_pasu_545232f84b.jpg","1","120","","","","1","Morning","0","https://maps.google.com/?cid=10246608478835297053","","4.10","4.10"
